month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2021_08,BAKSA,Baksa,6199877.0
2021_08,BARPETA,Barpeta,25096615.0
2021_08,BONGAIGAON,"Bongaigaon
(Pt)",32380200.0
2021_08,CHIRANG,Bengtal,7276370.0
2021_08,CHIRANG,Bijni (Pt),18684276.0
2021_08,DARRANG,Sipajhar,2671369.0
2021_08,GOLAGHAT,Sarupathar,4442961.12
2021_08,HAILAKANDI,Lala,9917247.19
2021_08,JORHAT,Jorhat West,17064653.57
2021_08,JORHAT,Teok,7732676.0
2021_08,KAMRUP,Kamalpur,11659680.0
2021_08,KAMRUP,"North
Guwahati",12836947.0
2021_08,KARIMGANJ,Karimganj,10576828.82
2021_08,KARIMGANJ,"Ramkrishna
Nagar",8789070.31
2021_08,KOKRAJHAR,Gossaigaon (Pt),7991730.0
2021_08,KOKRAJHAR,Kokrajhar (Pt),9997133.0
2021_08,NAGAON,Nagaon,34989047.1
2021_08,SIVSAGAR,Sibsagar,13049242.01
2021_08,TINSUKIA,Tinsukia,5558319.75
2021_08,UDALGURI,Udalguri,36677995.0
